865,"Agriculture, Forestry, Fishing, and Hunting"
118045,"Mining, Quarrying, and Oil and Gas Extractions"
7906,Utilities
371355,Construction
688873,Manufacturing
321820,Wholesale Trade
559241,Retail Trade
355473,Transportation and Warehousing
278876,Information
30531,Finance and Insurance
113971,Real Estate and Rental and Leasing
335271,"Professional, Scientific, and Technical Services"
124490,Management of Companies and Enterprises
604653,Administrative and Support and Waste Management and Remediation Services
1006041,Educational Services
1042505,Health Care and Social Assistance
810743,"Arts, Entertainment, and Recreation"
2885761,Accomodation and Food Services
548929,Other Services
266840,Public Administration
